qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
INEX_LD-2010106,organic food advantages disadvantages,0.0022,13,wiki.topn3,0.3494,organic food advantages disadvantages organic farming organic movement local food Organic food,stem.lovins,0.1615,organ food advant disadvant,tagmee.topn3,0.094,organic food advantages disadvantages Organic food,conceptluster.topn5.3.qld,0.094,organic food advantages disadvantages organic food,tagmee.topn3.replace,0.0549,President of the United States Millard Fillmore Oath of office William R  Day,stem.trunc5,0.0541,organ food advan disad,wiki.topn3.replace,0.0513,presidency of the united states cabinet of the united states democratiparty vice presidents of the united states President of the United States united states vice presidential candidates       fillmore family whig party vice presidents of the united states Millard Fillmore direct election separation of powers electoral college Oath of office united states commerce court united states commerccourt helen herron taft William R  Day,wordnet.topn3,0.0443,organic food advantages disadvantages organic fertilizer constituent constitutional intellectual nourishment nutrient reward vantage disfavor disfavour,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.0423,"{'disadvantag': 2, 'advantag': 2, 'organ': 2, 'food': 2, 'product': 1.972, 'market': 1.485, 'retail': 1.371, 'consum': 1.341, 'sale': 1.335, 'import': 1.327, 'eu': 1.277, 'increas': 1.227, 'purchas': 1.147}",rm3.topn10.10.0.5.qld,0.0287,cattl firstmov sourc oilse food blue product pesticid advantag competit organ global disadvantag,termluster.topn5.3.qld,0.0096,organic food advantages disadvantages product advantag product organ,relevancefeedback.topn10.qld,0.0073,organic food advantages disadvantages cattl advantag sourc pesticid competit product blue oilse oxid,wordnet.topn3.replace,0.0042,organic fertilizer constituent constitutional intellectual nourishment nutrient reward vantage disfavor disfavour,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012301,Niagara falls origin lake,0.4122,9,sensedisambiguation,0.6881,Niagara falls precipitate origin lake,wordnet.topn3,0.6416,niagara falls origin lake Niagara Falls Niagara River light accrue come down stock inception extraction,word2vec.topn3,0.5962,niagara falls origin lake sioux roanoke Niagra fell orgin origin  pond,wordnet.topn3.replace,0.5838,Niagara Falls Niagara River light accrue come down stock inception extraction lake,relevancefeedback.topn10.qld,0.4977,niagara falls origin lake fall she park,wiki.topn3,0.4934,niagara falls origin lake geography of niagara falls  ontario niagara river waterfalls of ontario Niagara Falls evolutionarily significant biological phenomena carbon    evolutionary history of life Abiogenesis lakes bodies of water river Lake,tagmee.topn3,0.4522,niagara falls origin lake Niagara Falls Abiogenesis Lake,conceptluster.topn5.3.qld,0.4522,niagara falls origin lake niagara falls abiogenesis lake,termluster.topn5.3.qld,0.4133,niagara falls origin lake fall ontario citi ontario niagara name eri river side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012303, Valley fever fungal infection San Joaquin,0.2698,6,tagmee.topn3.replace,0.4951,John Lennon Yoko Ono LP record Starting Over  Raspberries album,word2vec.topn3,0.3509,valley fever fungal infection san joaquin hills typhoid bacterial fungi fungus disease virus francisco bernardino diego mateo vicente clemente,glove.topn3,0.3507,valley fever fungal infection san joaquin hills dengue pathogen bacterial francisco diego navarro lihks,rm3.topn10.10.0.5.qld,0.2956,san fever vallei viru diseas infect transmiss throat coccidioid coccidioidomycosi immiti joaquin fungal,onfields.topn3.10.1.1.qld,0.2747,"{'joaquin': 2, 'san': 2, 'infect': 2, 'valley': 2, 'fungal': 2, 'fever': 2, 'coccidioid': 2.0, 'spore': 1.366, 'coccidioidomycosi': 1.358, 'immiti': 1.268, 'diseas': 1.268, 'posadasii': 1.22, 'caus': 1.211, 'arthroconidia': 1.163, 'subdivis': 1.098}",adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.2715,"{'joaquin': 2, 'san': 2, 'fungal': 2, 'fever': 2, 'valley': 2, 'coccidioid': 2.0, 'infect': 2, 'coccidioidomycosi': 1.721, 'immun': 1.462, 'immiti': 1.401, 'diseas': 1.363, 'patient': 1.328, 'antigen': 1.225, 'increas': 1.191, 'spherul': 1.172, 'galgiani': 1.111}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012305,North Dakota s lowest river of another colour,0.0408,3,tagmee.topn3.replace,0.6940000000000001,John Turturro Coen brothers Film director,wiki.topn3.replace,0.1411,stevbuscemi aida turturro stanley tucci John Turturro jonathan demme brian dpalma insidllewyn davis Coen brothers film directors film crew screenwriter Film director,termluster.topn5.3.qld,0.0556,north dakota  s lowest river another colour counti dakota river counti north river counti dakota north,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012307, July        president died Millard Fillmore sworn following day,0.1825,13,rm3.topn10.10.0.5.qld,0.49200000000000005,treati taylor buffalo william dai sworn york abigail juli      presid follow di millard fillmor,wordnet.topn3,0.4449,july      president died millard fillmore sworn following day chairwoman chairperson snuff it die out fail Millard Fillmore President Fillmore swan pledged cuss stick to observe play along daytime solar day,wordnet.topn3.replace,0.41700000000000004,july      chairwoman chairperson snuff it die out fail millard Millard Fillmore President Fillmore swan pledged cuss stick to observe play along daytime solar day,conceptnet.topn3,0.4126,july      president died millard fillmore sworn following day leader cross millard county President Fillmore ventura county kentucky pledged claque birthday morning time,stem.krovetz,0.3514,july president die millard fillmore sworn following day,stem.porter2,0.3514,juli presid die millard fillmor sworn follow day,termluster.topn5.3.qld,0.3357,july      president died millard fillmore sworn following day york unit state,sensedisambiguation.replace,0.3235,july        president of the united states die Millard fillmore trust watch sidereal day,sensedisambiguation,0.2872,July        president president of the united states died die Millard Fillmore sworn trust following watch day sidereal day,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.2689,"{'day': 2, 'follow': 2, 'sworn': 2, 'die': 2, '1850': 2, 'juli': 2, 'millard': 2, 'presid': 2, 'fillmor': 2, 'strang': 1.403, 'senat': 1.353, 'documentwriteopt': 1.307, 'vice': 1.283, 'bate': 1.216, 'whig': 1.184, 'weed': 1.138, 'strangit': 1.088}",bertqe.topn10.qld,0.2311,"{' July 1850  president died Millard Fillmore sworn following day': 1.5, 'fillmore march 18 1852': 1.0, 'millard fillmore march 18': 0.9283154121863799, 'fillmore president swearingin': 0.8853046594982078, 'july 9 1850': 0.8100358422939068, 'july 10 1850': 0.7956989247311828}",glove.topn3,0.2238,july      president died millard fillmore sworn following day april june           vice death killed fillmore hohtz millard kd   oath swore after week,stem.lovins,0.1914,jl presid di millard fillmor sworn follow day,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012309,residents small island city state  Malay Peninsula Chinese,0.0858,6,bertqe.topn10.qld,0.2816,"{'residents small island citystate  Malay Peninsula Chinese': 1.5, 'asajaya chinese small': 1.0, 'malay singaporeans island southeast asia': 0.9285714285714286, 'chinese small sarawakian': 0.8928571428571429, 'malay chinese iban people': 0.8214285714285715, 'javanese minangkabau batak chinese buginese': 0.5357142857142857}",wiki.topn3,0.2419,residents small island city state malay peninsula chinese countries by characteristic thalassocracy athenian empire City state landforms of thailand regions of malaysia peninsular malaysia Malay Peninsula yue chinese yuchinese hoklo people Overseas Chinese,tagmee.topn3,0.1862,residents small island city state malay peninsula chinese City state Malay Peninsula Overseas Chinese,conceptluster.topn5.3.qld,0.1683,residents small island city state malay peninsula chinese overseas chinese city state,rm3.topn10.10.0.5.qld,0.1441,feder malaysia state small asajaya british strait resid singapor malai citi chines peninsula island singaporean,tagmee.topn3.replace,0.1247,Crime Writers  Association Novel Sons and Lovers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012311,John Lennon Yoko Ono album Starting Over,0.5339,3,stem.trunc5,0.5489999999999999,john lenno yoko ono album start over,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.5483,"{'over': 2, 'start': 2, 'album': 2, 'ono': 2, 'yoko': 2, 'lennon': 2, 'john': 2, 'var': 2.0, 'interview': 1.765, 'null': 1.765, 'documentsearchwidgitsearchtyp': 1.353, 'documentwriteopt': 1.353, 'savedsearch': 1.294, 'documentsearchwidgitsortdropdownoptionslength': 1.294, 'savedscop': 1.294, 'savedtag': 1.235, 'newurl': 1.235, 'sortopt': 1.176}",tagmee.topn3,0.5388,john lennon yoko ono album starting John Lennon Yoko Ono LP record Starting Over  Raspberries album,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012313,John Turturro      Coen Brothers film,0.6803,3,onfields.topn3.10.1.1.qld,0.7344,"{'film': 2, 'brother': 2, '1991': 2, 'john': 2, 'turturro': 2, 'coen': 2, 'miller': 1.496, 'fink': 1.496, 'barton': 1.449, 'hudsuck': 1.236, 'lebowski': 1.22, 'burwel': 1.205, 'ladykil': 1.157, 'intoler': 1.126, 'proxi': 1.0}",termluster.topn5.3.qld,0.6934,john turturro      coen brothers film actor barton brother actor associ barton actor barton brother writer turturro music actor barton brother,tagmee.topn3,0.6893,john turturro      coen brothers film John Turturro Coen brothers Film director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012315,Baguio Quezon City  Manila official independence,0.0123,12,tagmee.topn3.replace,0.2339,Asian people Port Stamford Raffles Stamford Raffles,wordnet.topn3,0.0927,baguio quezon city manila official independence      urban center metropolis manilla prescribed functionary,conceptnet.topn3,0.0782,baguio quezon city manila official independence      capital town manilla football official noticer,wiki.topn3.replace,0.0749,asian people multiracial hapa Asian people ports and harbours ship transport cargo Port british rule in indonesia anglo dutch treaty of           in the netherlands Stamford Raffles british rule in indonesia anglo dutch treaty of           in the netherlands Stamford Raffles,wordnet.topn3.replace,0.0418,baguio quezon urban center metropolis manilla prescribed functionary independence,conceptnet.topn3.replace,0.0328,baguio quezon capital town manilla football official noticer independence,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.0319,"{'1945': 2, 'independ': 2, 'offici': 2, 'quezon': 2, 'baguio': 2, 'manila': 2, 'citi': 2, '2001': 2.0, 'makati': 1.689, 'philippin': 1.59, 'bldg': 1.571, 'ave': 1.435, 'pasig': 1.292, 'legaspi': 1.211, 'ortiga': 1.186, '8189836': 1.081}",wiki.topn3,0.0234,baguio quezon city manila official independence      baguio las piñas calabarzon Baguio quezon city metro manila metro manila Quezon City planned cities in the philippines cities in metro manila manila Manila ethnologue languagpolicy lingua franca Official language sovereign state sovereignty republic Independence,bertqe.topn10.qld,0.0204,"{'Baguio Quezon City  Manila official independence 1945': 1.5, 'commonwealth philippines 1945': 1.0, 'philippines 1946 65 baguio': 1.0, 'philippines 1946 65 baguio juan': 0.9705882352941176, 'philippines 1898 1946 quiapo manila': 0.7647058823529412, 'capital baguio stat year 1946': 0.7058823529411764}",rm3.topn10.10.0.5.qld,0.0173,baguio republ independ quezon hous rain citi      philippin del manila sur legisl offici battl,docluster.topn10.3.qld,0.0153,baguio quezon city manila official independence      citi philippin area,tagmee.topn3,0.0131,baguio quezon city manila official independence      Baguio Quezon City Manila Official language Independence,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012317,daggeroso inclined to use a dagger novel Sons and Lovers,0.1524,3,sensedisambiguation,0.5889,daggeroso inclined tend to use a dagger novel Sons son and Lovers lover,bertqe.topn10.qld,0.3407,"{'daggeroso inclined to use a dagger novel Sons and Lovers': 1.5, 'sons lovers disambiguation': 1.0, 'dagger brotherhood psychometry paranormal lover': 0.7142857142857144, 'lovers sons lovers': 0.7142857142857144, 'novel paranormal romance black dagger': 0.7142857142857144, 'william heinemann sons lovers': 0.5714285714285714}",tagmee.topn3,0.2241,daggeroso inclined use dagger novel sons lovers Crime Writers  Association Novel Sons and Lovers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012318,Directed Bela Glen Glenda Bride Monster Plan   Outer Space,0.2207,10,tagmee.topn3.replace,0.5539,Inheritance James G  Blaine Law,sensedisambiguation.replace,0.4149,mastermind Bela glen Glenda bridget monster plan nine outer outer space,rm3.topn10.10.0.5.qld,0.3455,wood lugosi space bela glen   bride plan direct glenda monster outer actor male brook ed film,relevancefeedback.topn10.qld,0.3129,directed bela glen glenda bride monster plan   outer space film actor lugosi wood dolor,sensedisambiguation,0.3114,Directed mastermind Bela Glen Glenda Bride bridget Monster Plan   nine Outer Space outer space,stem.trunc5,0.3073,direc bela glen glend bride monst plan outer space,onfields.topn3.10.1.1.qld,0.289,"{'space': 2, '9': 2, 'plan': 2, 'glenda': 2, 'glen': 2, 'direct': 2, 'outer': 2, 'film': 2.0, 'bela': 2, 'monster': 2, 'bride': 2, 'ed': 1.709, 'wood': 1.205, 'lugosi': 1.101, 'frankenstein': 1.086, 'solt': 1.04, 'invis': 1.022}",wiki.topn3.replace,0.2649,power of attorney legal guardian beneficiary Inheritance blaine county  nebraska hannibal hamlin william allen  governor  James G  Blaine political engineering authority social concepts Law,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.255,"{'space': 2, 'outer': 2, '9': 2, 'plan': 2, 'monster': 2, 'bride': 2, 'glenda': 2, 'glen': 2, 'bela': 2, 'direct': 2, 'r': 2.0, '1': 1.281, '05': 1.078, 'ac': 1.059, 'cd': 1.019, 'vc': 1.017, 'philadelphia': 1.012, 'berenstain': 1.004, '2158931999': 1.004, 'stanjan': 1.002, '2156847506': 1.002}",docluster.topn10.3.qld,0.2392,directed bela glen glenda bride monster plan   outer space film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012319,      short story collection Alice Munro is Open,0.5828,1,stem.trunc5,0.6976,short story colle alice munro is open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012321,Asian port state city Sir Stamford Raffles,0.2632,5,docluster.topn10.3.qld,0.3549,asian port state city sir stamford raffles raffl singapor singaporean,termluster.topn5.3.qld,0.3238,asian port state city sir stamford raffles histori raffl singapor histori raffl singapor stamford sir singapor,conceptnet.topn3,0.3133,asian port state city sir stamford raffles rice england stamford bridge Sir Thomas Stamford Raffles raffles s malkoha,stem.lovins,0.2754,as port st cit sir stamford raffl,sensedisambiguation,0.271,Asian port state city Sir Stamford Raffles raffle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012323,Large glaciers island nation Langjokull Hofsjokull Vatnajokull,0.0182,14,tagmee.topn3.replace,0.2091,Seoul Korea River Hydronym History of China,tagmee.topn3,0.1055,large glaciers island nation langjokull hofsjokull vatnajokull Glacier Langjökull Hofsjökull Vatnajökull,conceptluster.topn5.3.qld,0.1055,large glaciers island nation langjokull hofsjokull vatnajokull langjökull vatnajökull hofsjökull glacier,rm3.topn10.10.0.5.qld,0.0581,larg iceland park highland largest glacier volcano nation ic cap island erebu langjokul hofsjokul vatnajokul,wiki.topn3,0.0577,large glaciers island nation langjokull hofsjokull vatnajokull glaciers bodies of ice glacial landforms Glacier mid iceland belt hofsjökull vatnajökull Langjökull mid iceland belt askja Öræfajökull Hofsjökull highlands of iceland langjökull highlands of iceland Vatnajökull,termluster.topn5.3.qld,0.043,large glaciers island nation langjokull hofsjokull vatnajokull vatnajökul iceland,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.0411,"{'vatnajokul': 2, 'hofsjokul': 2, 'nation': 2, 'island': 2, 'glacier': 2, 'larg': 2, 'langjokul': 2, '0': 2.0, 'iceland': 1.141, 'overflight': 1.087, 'erupt': 1.076, 'trip': 1.065, 'modi': 1.065, 'myrdalsjokul': 1.065, 'subglaci': 1.054, 'hyaloclastit': 1.054, 'snowic': 1.011}",relevancefeedback.topn10.qld,0.0388,large glaciers island nation langjokull hofsjokull vatnajokull iceland swedish volcano ic glacier erebu,docluster.topn10.3.qld,0.037000000000000005,large glaciers island nation langjokull hofsjokull vatnajokull iceland,sensedisambiguation,0.0243,Large glaciers glacier island nation state Langjokull Hofsjokull Vatnajokull,onfields.topn3.10.1.1.qld,0.023,"{'hofsjokul': 2, 'langjokul': 2, 'nation': 2, 'island': 2, 'larg': 2, 'kul': 2.0, 'glacier': 2, 'vatnajokul': 2, 'kull': 1.862, 'iceland': 1.645, 'vatnaj': 1.536, 'langj': 1.181, 'parkjpg': 1.087, 'skaftafel': 1.065, 'rglj': 1.051, 'hveravellir': 1.043}",bertqe.topn10.qld,0.0208,"{'Large glaciers island nation Langjokull Hofsjokull Vatnajokull': 1.5, 'vatnajokull vatna glacier iceland': 1.0, 'vatnajokull vatna glacier': 0.6000000000000002, 'islands iceland icelandic glacier': 0.4, 'vatnajokull glacier vatnaj kull nordaustlandet': 0.20000000000000018, 'two largest glaciers iceland': 0.20000000000000018}",wordnet.topn3.replace,0.0196,with child declamatory glaciers island body politic country langjokull hofsjokull vatnajokull,sensedisambiguation.replace,0.0191,large glacier island state Langjokull Hofsjokull Vatnajokull,,,,,,,,,,,,,,,,,,
INEX_LD-2012325,successor James G  Blaine studied law,0.6717,1,tagmee.topn3,0.7803,successor james g  blaine studied law Inheritance James G  Blaine Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012327,Beloved author African American Nobel Prize Literature,0.1714,6,rm3.topn10.10.0.5.qld,0.2636,prize american author african nobel morrison literatur novel belov africanamerican book toni writer,onfields.topn3.10.1.1.qld,0.2062,"{'prize': 2, 'author': 2, 'nobel': 2, 'novel': 2.0, 'belov': 2, 'literatur': 2, 'africanamerican': 2, 'toni': 1.533, 'univers': 1.533, 'morrison': 1.524, 'narr': 1.371, 'laureat': 1.19, 'ardelia': 1.086}",tagmee.topn3,0.1895,beloved author african american nobel prize literature Beloved  novel  African Americans Nobel Prize in Literature,conceptluster.topn5.3.qld,0.1895,beloved author african american nobel prize literature african americans beloved novel nobel prize literature,wiki.topn3,0.1887,beloved author african american nobel prize literature novels set in delaware our nig igbo landing Beloved  novel  African Americans nobel prize in literature literary realism natasha wimmer Nobel Prize in Literature,relevancefeedback.topn10.qld,0.1794,beloved author african american nobel prize literature africanamerican american novel south literatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012329,Sweden Iceland currency,0.1426,4,bertqe.topn10.qld,0.2398,"{'Sweden Iceland currency': 1.5, 'currency sweden iceland shetland': 1.0, 'currency iceland kr': 0.5294117647058822, 'sveinsson kjarval swedish krona shortbeaked': 0.3823529411764705, 'kr na icelandic currency krona': 0.1470588235294117, 'na icelandic currency krona currency': 0.08823529411764693}",relevancefeedback.topn10.qld,0.1875,sweden iceland currency union currenc riksdal wadmal,sensedisambiguation,0.1815,Sweden Iceland currency currentness,conceptluster.topn5.3.qld,0.1782,sweden iceland currency currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012331,Seoul Korea river name ethnic group China,0.0563,8,conceptnet.topn3,0.1462,seoul korea river name ethnic group china Asia water stream person title crowd band class country plate,conceptluster.topn5.3.qld,0.0996,seoul korea river name ethnic group china history china river hydronym,wordnet.topn3,0.0968,seoul korea river name ethnic group china capital of South Korea Dae Han Min Gook Han Gook appoint make refer pagan mathematical group Red China Republic of China,wordnet.topn3.replace,0.0932,capital of South Korea Dae Han Min Gook Han Gook river appoint make refer pagan mathematical group Red China Republic of China,wiki.topn3.replace,0.0872,freeport  texas la marque  texas deer park  texas Texas City  Texas education in mclennan county  texas visitor attractions in mclennan county  texas universities and colleges affiliated with the baptist general convention of texas Baylor University fujita scale tornado tornadogenesis Tornado,tagmee.topn3,0.0805,seoul korea river name ethnic group china Seoul Korea River Hydronym History of China,sensedisambiguation,0.0615,Seoul Korea river name ethnic cultural group China taiwan,stem.trunc5,0.0602,seoul korea river name ethni group china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
